"well" "hyvin"
"drawn" "piirretty"
"editing" "muokkaminen, editointi"
"sidebar" "sivupalkki"
"above" "yläpuolella"
"image" "kuva"
"refuses" "kieltäytyy"
"mystery" "mysteeri"
"climax" "huippukohta"
"thriller" "trilleri"
"hoo" "hoo"
"fright" "pelko"
"sheer" "jyrkkä"
"museum" "museo"
"chapter" "luku (in a book)"
"held" "pidettiin käsissä"
"sacred" "pyhä"
"damned" "kirottu"
"vampires" "vampyyrit"
"ancient" "muinainen"
"castles" "linnat"
"cumbersome" "hankala"
"curry" "curry"
"rendition" "tulkinta"
"novelist" "kirjailija"
"social" "sosiaalinen"
"studies" "opiskelu"
"station" "asema"
"unhappy" "onneton"
"deed" "teko"
"develop" "kehittää"
"sectors" "sektorit/alueet"
"performance" "esitys"
"dislodged" "poistaa, irrottaa"
"machine" "kone"
"cutting" "leikkaava"
"wise" "viisas"
"tap" "hana/naputtaa"
"display" "näyttö"
"banged" "pamautti"
"windows" "ikkunat"
"lock" "lukita"
"rebooted" "uudelleenkäynnistys"
"prompted" "aiheuttaa"
"scan" "skannata"
"structure" "rakenne"
"31" "kolmekymmentäyksi"
"sector" "sektori"
"menu" "ruokalista"
"mode" "tila/voimakkain moodi"
"chose" "valita"
"command" "komento"
"prompt" "kehottaa"
"typed" "kirjoitettu (menneessä ajassa)"
"dos" "kaksi"
"wiped" "pyyhitty"
"alright" "selvä"
"entered" "astui sisään"
"disc" "levy"
"disk" "levy"
"automatic" "automaattinen"
"integrity" "eheys"
"copied" "kopioitu"
"resolved" "ratkaistu"
"interchangeable" "vaihdettava"
"drives" "ajaa"
"posed" "poseerattu"
"floppy" "hervoton"
"universal" "universaali"
"documents" "asiakirjat"
"images" "kuvat"
"settled" "ratkaistu"
"ohhh" "äänekkäästi huudahtaen"
"fiddle" "vaaleanvihreä, värkkäillä tai näprätä"
"avoid" "välttää"
"cheer" "riemu"
"options" "vaihtoehdot"
"replacement" "korvaaminen, vaihto"
"privacy" "yksityisyys"
"menacing" "uhkaava"
"during" "aikana"
"chess" "shakki"
"match" "ottelu; verb, RGB(153, 255, 204), vastata"
"saloon" "saluuna, ravintola"
"shrug" "kohauttaa olkapäitä"
"cocaine" "kokaiini"
"blazing" "roihuava"
"task" "tehtävä"
"breaking" "rikkoo"
"brace" "valmistautuminen"
"braced" "varauksellinen"
"product" "tuote"
"office" "toimisto"
"swede" "ruotsalainen"
"smooth" "tasainen"
"printer" "tulostin"
"setup" "järjestelmä"
"hassle" "säätäminen"
"tad" "sitten"
"smaller" "pienempi"
"bear" "karhu"
"thumbs" "peukalot"
"welp" "no niin; Finnish translation not available"
"suck" "imemässä"
"writer" "kirjailija"
"usb" "yleisesti käytettyä järjestelmien välinen yhteys"
"ports" "satamat"
"clocks" "kellot"
"donkey" "aasi"
"kong" "kong"
"sleek" "kiiltävä"
"bells" "kellot"
"whistles" "pillit"
"removing" "poistaminen"
"hd" "korkeanmääritelmän"
"overthrown" "syrjäytetty"
"thriving" "menestyvä"
"neat" "siisti"
"doughnuts" "donitsit"
"troubled" "levoton"
"waters" "vedet"
"clint" "siisti kaveri"
"el" "se"
"passion" "intohimo"
"christ" "Kristus"
"influential" "vaikutusvaltainen"
"humbling" "nöyryyttävä"
"produced" "tuotettu"
"speaks" "puhua"
"crucified" "ristiinnaulittu"
"mel" "ääni"
"gibson" "kitara"
"officially" "virallisesti"
"petition" "vetoomus"
"risen" "noussut, kohonnut"
"revolting" "inhottava"
"protest" "protesti"
"loved" "rakastettu"
"expressing" "ilmaiseminen"
"disgust" "inhon"
"outrage" "järkytys"
"they'll" "he tulevat"
"mistake" "virhe"
"strategy" "strategia"
"upside" "kääntöpuoli"
"stray" "hylätty, eksynyt"
"introvert" "introvertti"
"reign" "hallita"
"chaos" "kaoosi"
"expansion" "laajentuminen"
"lovesick" "rakkaudensairas"
"kiss" "suudella"
"louis" "mies"
"armstrong" "Armstrong"
"sent" "lähettää"
"fallout" "jälkimainingit"
"style" "tyyli"
"bouncy" "pomppiva"
"whack" "outo"
"disoriented" "suuntaa hukkaava"
"grandmother" "isoäiti"
"aunt" "täti"
"florida" "Florida"
"cousins" "serkut"
"houses" "talot"
"contention" "kiista"
"tied" "sitoutunut"
"hook" "koukku"
"peripherals" "ulkoreunat"
"inclined" "taipuvainen"
"hers" "hänen"
"discombobulated" "sekaisin"
"distinct" "erottuva"
"queasy" "pahoinvointi"
"bathroom" "kylpyhuone"
"dreamed" "unelmoinut"
"conscious" "tietoinen"
"vivid" "elävä, kirkas"
"thoughts" "ajatukset"
"mildly" "lievästi"
"happening" "tapahtuma"
"traces" "jäljet"
"miss" "kaivata"
"instruction" "ohjeistus"
"delay" "viive/viivyttää"
"wayfaring" "matkaaminen"
"trace" "jälki"
"prime" "ensisijainen"
"ecstatic" "ekstaattinen"
"holy" "pyhä"
"anybody" "kuka tahansa"
"latest" "uusin"
"nintendo" "Nintendo (pelikonsoleiden nimi)"
"info" "tiedot"
"ds" "DS"
"cow" "lehmä"
"ho" "heh/hei"
"lee" "Lee"
"shock" "shokki"
"pure" "puhdas"
"utter" "täydellinen"
"portable" "kannettava"
"screens" "näytöt"
"recognition" "tunnustaminen"
"network" "verkosto"
"ps3" "violetti-pelikonsoli"
"unveils" "paljastaa"
"technology" "teknologia"
"playstation" "Playstation"
"dual" "kaksitie"
"squeal" "kiljua; ulista"
"screenshots" "kuvakaappaukset"
"offerings" "uhrilahjat"
"trustworthy" "luotettava"
"videos" "videoleikkeet"
"ceases" "lakkaa"
"amaze" "hämmästyttää"
"they've" "he ovat"
"announced" "ilmoitettu"
"fifth" "viides"
"echoes" "kaikut"
"hunters" "metsästäjät"
"cash" "käteinen"
"aerosmith" "ilmaisrautu"
"console" "pelikonsoli"
"odyssey" "odysseia"
"symphony" "sinfonia"
"productive" "tuottelias"
"triumphant" "voitokas"
"champion" "mestari"
"nauseating" "pahoinvointia aiheuttava"
"inspiration" "inspiraatio"
"resume" "jatkamaan"
"46" "46"
"linked" "yhdistetty"
"nevermind" "unohtaa"
"excursion" "retki"
"reloaded" "ladattu uudelleen"
"smith" "Smith"
"olds" "vanhat"
"tease" "härnätä"
"accomplished" "saavutettu"
"pounding" "jyskyttävä"
"bedroom" "makuuhuone"
"window" "ikkuna"
"doorbell" "ovikello, kello"
"receive" "vastaanottaa"
"bloodthirsty" "verenhimoinen"
"hammer" "vasara"
"claw" "kouraisee, kynsii"
"neck" "kaula"
"unlock" "avata"
"blasting" "räjäyttävä"
"oblivion" "unohdus"
"barking" "haukkuminen"
"position" "asema"
"runts" "ryhmän nuorimmat jäsenet"
"boo" "buuata"
"fling" "heitellä"
"wide" "leveä (Finnish translation of the word "
"bugger" "raiskata"
"dashes" "viivat"
"stands" "teline/tasoittua"
"glare" "häikäisy"
"riddance" "päästö"
"roaming" "kiertämässä"
"parent" "vanhempi"
"awful" "kamala"
"rap" "rap-musiikki"
"level" "taso"
"feet" "jalat"
"snake" "käärme (Finnish)"
"strut" "kävellä ylväästi"
"advancing" "edistyvä"
"budding" "itivä"
"reaches" "saavuttaa"
"stares" "tuijottaa"
"dialogue" "vuoropuhelu"
"worthy" "arvollinen"
"sooner" "ennen/tulevaisuudessa"
"teased" "kiusata"
"giggling" "kikattava"
"scream" "huutaa"
"fuming" "raivostunut"
"rushing" "kiirehtiä"
"pumped" "innostaa"
"brood" "leipä"
"punching" "lyömällä"
"pillow" "tyyny"
"frustrations" "turhautumiset"
"gui" "käyttöliittymä (graphical user interface)"
"christopher" "Kristoffer"
"5am" "viiden aamulla"
"discover" "selvittää"
"balanced" "tasapainoinen"
"mix" "sekoitus/sekoittaa"
"struggling" "kamppaileva"
"lengthy" "pitkäkestoinen"
"downgrade" "laskea asteikolta"
"mass" "massiivinen/tukkoinen"
"dinners" "illalliset"
"goodness" "hyväntahtoisuus"
"dribble" "tihkua"
"hesitate" "epäröiminen"
"alarm" "hälytys (Finnish)"
"30am" "klo 30"
"twenty" "kaksikymmentä"
"dust" "pöly"
"interior" "sisustus"
"shape" "muoto"
"progressing" "edistyminen"
"nicely" "mukavasti"
"rav" "rav (bird)"
"informed" "tiedottaa"
"salami" "salami"
"mafia" "mafia"
"experienced" "kokenut"
"hyped" "hypetetty, innostunut"
"hoping" "toivova"
"rewrite" "kirjoittaa uudelleen"
"paragraphs" "tekstikappaleet tai lyhyet kirjoitelmat asioista"
"control" "hallinta"
"frustrating" "turhauttava"
"enthusiasm" "innostuneisuus"
"throbbing" "kouristeleminen/pulsaroiva"
"desperate" "epätoivoinen"
"attempts" "yritykset"
"profile" "profiili"
"interested" "kiinnostunut"
"bore" "tylsistyttää, porata läpi"
"death" "kuolema"
"ciao" "moikka"
"condo" "asunto-osake"
"screenshot" "kuvankaappaus"
"exchange" "vaihto"
"potential" "potentiaali"
"tunes" "sävelet"
"coursing" "kulkeva"
"kewl" "siisti"
"concept" "käsite tai ajatus"
"compose" "kirjoittaa/säveltää"
"hallucinating" "hallusinoiva / harhaileva"
"delighted" "ilahtunut"
"corresponding" "vastaava"
"recent" "viimeaikainen"
"intense" "intensiivinen"
"humorous" "humoristinen"
"needing" "tarvitseva"
"swell" "turvota"
"brandenburg" "brandenburg"
"roar" "karjuminen"
"metal" "metalli"
"gear" "vaihde"
"puny" "heikko, vaivainen"
"mortal" "kuolevainen"
"tremble" "vapista"
"fearsome" "pelottava"
"bullets" "luodit"
"tee" "teejuoma"
"hee" "he"
"remind" "muistuttaa"
"commence" "aloittaa"
"rust" "ruoste"
"soak" "liottaa"
"bathtub" "kylpyamme"
"lowe" "alhainen"
"3000" "kolmetuhatta"
"album" "albumi"
"covers" "peitot"
"yikes" "apua!"
"debate" "väittely"
"95" "95"
"presented" "esitelty"
"containing" "sisältävä"
"charts" "listasijoitukset"
"leafed" "lehtien kerääminen; adjective, RGB(153, 255, 51), lehväinen"
"carelessly" "huolettomasti"
"sums" "summat"
"perfectly" "täysin"
"explosive" "räjähdysherkkä"
"zany" "hullunkurinen"
"excerpts" "katkelmia"
"ideas" "ideat"
"tuna" "tonnikala"
"installment" "osa"
"thrilling" "jännittävä"
"laying" "makaava"
"smackdown" "voimanäyttö"
"don" "tehdä"
"roach" "kovakuoriaiset"
"roaches" "torakat"
"hollywood" "Hollywood"
"cockroach" "torakka"
"resembled" "muistuttaa"
"harass" "ahdistella"
"creepy" "karmiva"
"turd" "paskaeläin"
"maim" "rampauttava"
"exposure" "altistuminen"
"lightning" "salama"
"chased" "jahtattu"
"duty" "velvollisuus"
"flashlight" "taskulamppu"
"beam" "palkki"
"cover" "kansi"
"vowed" "vannonut"
"admiring" "ihaileva"
"crawling" "ryömiminen, käyttäytyminen alentuvasti"
"lamp" "lamppu"
"muttered" "mutisten"
"unkind" "ilkeä"
"spun" "sekava"
"grabbed" "tarttui"
"flyswatter" "kärpäslätkä"
"180" "180"
"handed" "luovutettu"
"swing" "keinua, heiluma"
"blades" "terät"
"simple" "yksinkertainen"
"interviewing" "haastatella, tentata"
"eminem" "Eminem (rapper)"
"ya" "sinä/sinulle"
"smiles" "hymyilee"
"nods" "nyökätä"
"interview" "haastattelu"
"connoisseur" "tuntija"
"ripping" "repsottava"
"interviews" "haastattelut"
"adding" "lisääminen"
"breakin'" "murtautuminen"
"bart" "Bart (etunimi)"
"medical" "lääketieteellinen"
"chart" "kaavio"
"tart" "piiras / tarttua"
"ala" "siipi"
"carte" "kortit"
"modern" "moderni"
"plastic" "muovinen"
"lawn" "nurmikko"
"dart" "tikka"
"missing" "kadonnut"
"humphrey" "harmaa"
"bogart" "vallata"
"lighting" "valaistus"
"fart" "pieru"
"mart" "kauppa"
"breathe" "hengittää"
"350" "350"
"employees" "työntekijät"
"effectively" "tehokkaasti"
"sour" "hapan"
"dies" "kuolla, menehtyä"
"disappears" "katoaa"
"value" "arvo"
"map" "kartta"
"commits" "sitoutuu"
"blasphemy" "jumalanpilkka"
"legacy" "perintö"
"dozens" "tusinat"
"mediocre" "keskinkertainen"
"grew" "kasvoi"
"everybody" "kaikki"
"blizzard" "lumimyrsky"
"grapes" "viinirypäleet"
"private" "yksityinen"
"harem" "harem"
"closet" "kaappi"
"anniversary" "vuosipäivä"
"midnight" "keskiyö"
"chock" "tukahduttaa"
"moments" "hetket"
"leaking" "vuotava"
"respond" "vastata"
"hanging" "riippuen"
"we'd" "me olisimme"
"there'll" "siellä tulee (siellä tulee olemaan)"
"cleanse" "puhdistaa"
"palate" "makuaisti"
"lud" "Lud"
"challenge" "haaste"
"duel" "kaksintaistelu"
"puns" "sanaleikit"
"triple" "kolminkertainen"
"quads" "nelikulmainen alue tai moninkertainen lihas"
"roots" "juuret"
"europe" "Eurooppa"
"lanka" "lanka"
"branched" "haarautunut"
"photosynthesis" "yhteyttäminen"
"umm" "öö"
"darn" "hitto vie"
"toed" "varpaita suunnaten"
"lol" "lol"
"twirls" "pyöriminen"
"mingling" "sekoittuminen"
"droll" "huvittava"
"graveyard" "hautausmaa"
"defeating" "voittaminen"
"numerous" "lukuisia"
"skittle" "karkkipurkki"
"rio" "Rio"
"rumors" "huhut"
"false" "väärä"
"believing" "uskominen"
"controversy" "kiista"
"political" "poliittinen"
"mud" "muta"
"slinging" "heittelevä"
"riding" "ratsastaminen"
"coat" "takki"
"tails" "hännät, takaisin"
"myths" "myytit"
"silly" "typerä"
"tasted" "maistanut"
"rolling" "vierivä"
"pin" "nuppineula"
"shouting" "huutaminen"
"shrieking" "kirkumassa"
"yelling" "huutaen"
"loser" "häviäjä"
"6pm" "klo 6 iltapäivällä"
"highest" "korkein"
"solve" "ratkaista"
"hamlet" "Hamlet"
"shakespeare" "shakespeare"
"professionally" "ammattimaisesti"
"negative" "kielteinen"
"invisible" "näkymätön"
"occasion" "tilaisuus"
"listed" "listattu"
"wily" "ovela"
"yeaaaah" "huudahdus"
"eric" "Eric"
"offended" "loukattu"
"explode" "räjähtää"
"clean" "puhdas"
"charging" "lataava"
"advertising" "mainonta"
"fcc" "liitousupäällikkö"
"stomachaches" "vatsakivut"
"abundance" "runsaus"
"references" "viitteitä"
"disturbing" "häiritsevä"
"trend" "trendi"
"australia" "Australia"
"bores" "tylsyt"
"bushel" "puolikas"
"desire" "halu"
"robots" "robotit"
"laser" "laser"
"nor" "Eikä"
"measure" "mittari/mittaus"
"robot" "robotti"
"eenie" "pieni"
"meenie" "hoplaa"
"moe" "tekijämiehen"
"sayeth" "sanoo"
"tiger" "tiikeri"
"grabbing" "tarttua"
"toe" "varvas"
"nay" "ei"
"thy" "sinun"
"century" "vuosisata"
"boredom" "tylsyys"
"lo" "sen"
"bright" "kirkas"
"mega" "mega-"
"enjoyment" "nautinto"
"lemon" "sitruuna"
"hugely" "suuresti"
"packing" "pakkaaminen"
"lying" "valehteleminen"
"gee" "gee"
"stomachache" "vatsakipu"
"removal" "poistaminen"
"mattress" "patja"
"pie" "piirakka"
"calm" "rauhallinen"
"nerves" "hermot"
"deciding" "päättäminen"
"thoroughly" "perusteellisesti"
"cuddled" "halaa, hyväillä, halailemaan"
"extremely" "erittäin"
"flop" "epäonnistua"
"aware" "tietoinen"
"counted" "laskettu"
"sheep" "lammas"
"focused" "keskittynyt"
"59" "vihainen"
"realizing" "havaitseminen"
"neptune" "Neptunus"
"breakfast" "aamiainen"
"july" "heinäkuu"
"bitter" "katkera"
"tackle" "hyökätä"
"compete" "kilpailla"
"parts" "osat"
"exploring" "tutkiskeleva"
"attic" "ullakko"
"mallory" "Mallory"
"visions" "visiot"
"pools" "uima-altaat, kerääminen"
"creeped" "tunkeutunut"
"lends" "lainaa"
"realism" "realismi"
"le" "hänelle"
"serpent" "käärme"
"rouge" "poskipuna"
"incredible" "uskomaton"
"spoilers" "juonipaljastukset"
"text" "lähettää tekstiviestiä"
"spoiler" "juonipaljastus, paljastaja"
"gk" "maalivahdin pätevyys"
"sidetracked" "harhautettu, häiritty"
"lion" "leijona"
"pranks" "kepposlat"
"paparazzi" "paparazzi"
"halloween" "halloween"
"science" "tiede"
"transition" "siirtymä"
"topics" "aihe"
"marked" "merkitty, selväpiirteinen"
"gullible" "sinisilmäinen"
"buying" "ostaminen"
"appreciates" "arvostaa"
"visiting" "vieraileminen"
"manage" "hoitaa"
"arrived" "saapunut"
"currently" "tällä hetkellä"
"cassette" "kasetti"
"nerds" "friikit"
"breathtaking" "henkeäsalpaava"
"masterpiece" "mestariteos"
"crime" "rikos"
"revealed" "paljastunut"
"discovering" "löytää"
"hideout" "piilopaikka"
"perp" "epäilty"
"minding" "huomioida"
"gruesome" "kamala"
"whereabouts" "olinpaikka"
"killer" "tappaja"
"henry" "Heinrikki"
"disclose" "ilmoittaa"
"tips" "vinkkejä"
"tricks" "temput"
"murderers" "murhaajat"
"innocent" "syytön"
"aluminum" "alumiini"
"supernova" "supernova"
"flashy" "huomiota herättävä"
"blade" "terä"
"dr" "velka"
"glanced" "vilkaista"
"climbing" "kiipeäminen"
"curtain" "verho / esirippu"
"size" "koko"
"naturally" "luonnollisesti"
"buggers" "pikkuvikaiset, kiusanhenget"
"tend" "taipumus"
"glance" "vilkaisu"
"immediate" "välitön"
"slaughter" "teurastus"
"wrist" "ranteen"
"crush" "murskata"
"despite" "huolimatta"
"cans" "tölkit"
"tends" "huolehtia"
"dangerous" "vaarallinen"
"sharp" "terävä"
"superpowers" "supervoimat"
"impaled" "lävistetty"
"snapping" "napsahdus"
"photo" "valokuva"
"explaining" "selittäminen"
"situation" "tilanne"
"wielding" "heiluttaminen/valta"
"slashed" "viilsi"
"medieval" "keskiaikainen"
"knights" "ritarit"
"thunderous" "jylinää"
"steel" "teräs"
"impending" "uhkaava"
"sharpened" "teroitetut"
"swinging" "keikuttava"
"doomed" "tuhoon tuomittu"
"scampered" "juoksi nopeasti"
"opposite" "vastakkainen"
"lowered" "laskenut"
"creep" "hiipiä"
"witnessed" "todistanut"
"cunning" "viekas"
"fumbling" "hapuilla"
"sliced" "viipaloida"
"crippling" "lamauttava"
"laceration" "repeämä"
"insect" "hyönteinen"
"wriggling" "kääntyilevä"
"slippers" "tossut"
"mark" "merkki"
"dagger" "tikari"
"swipe" "pyyhkäistä"
"slash" "viimeistelymerkki"
"blindly" "sokeasti"
"risk" "riski"
"ruining" "tuhoaminen"
"slipper" "tohveli"
"angled" "kulmikas"
"smushed" "litistää"
"sucker" "hölmö"
"entrails" "sisälmykset"
"victorious" "voitokas"
"viva" "eläköön (huom. käytetään usein vallankumouksellisissa kannanotoissa)"
"boogie" "boogie-komppi"
"13" "kolmetoista"
"sports" "urheilu"
"coke" "kola"
"fridge" "jääkaappi"
"oddly" "hassusti"
"exaggerating" "liioitella"
"tastes" "maistuu"
"diet" "dieetti"
"necessary" "välttämätön"
"bathrooms" "kylpyhuoneet"
"inhaling" "hengittäminen"
"double" "tupla"
"generous" "antelias"
"phoned" "soittaminen"
"buddy" "kaveri"
"ears" "korvat"
"bleed" "vuotaa verta"
"via" "tie/väylä"
"reference" "viite"
"battling" "taistelu"
"toppled" "kaatunut"
"groovy" "hieno/hauska"
"incessant" "loppumaton"
"mellow" "lempeä"
"potato" "peruna"
"bothered" "häiritseminen"
"addicted" "riippuvainen"
"ebay" "ebay"
"eddie" "poika"
"tangent" "ultimaattinen"
"hates" "vihaa"
"breath" "hengitys"
"wonderfully" "ihmeellisesti"
"rerun" "uusinta"
"freezes" "jäädyttää"
"horribly" "kauheasti"
"sadly" "surullisesti"
"causing" "aiheuttaen"
"conflict" "konflikti"
"circulation" "kierto"
"issue" "kysymys/ongelma"
"hewlett" "kunnianhimoinen"
"packard" "Packard"
"09" "nolla yhdeksän"
"bail" "takaus"
"separate" "erillinen"
"dodging" "väistämään"
"strait" "salmi"
"allows" "salliva"
"wimps" "pehmeäkoiset"
"demand" "vaatia, vaatimus"
"ability" "kyky"
"veteran" "veteraani, kokenut"
"woof" "woof"
"grrr" "ärhäkkäästi"
"wings" "siivet"
"steak" "pihvi"
"popcorn" "popcorn"
"alfredo" "Alfredo"
"garcia" "Garcia"
"rocky" "kivikkoinen"
"iv" "intravenously (suonensisäinen)"
"apparent" "ilmeinen"
"towels" "pyyhkeet"
"lotta" "paljon"
"culture" "kulttuuri"
"dvds" "DVD:t"
"monty" "Monty (nimi)"
"brian" "Brian (nimi)"
"vhs" "VHS-kasetti"
"detour" "kiertotie"
"flying" "lentää"
"circus" "sirkus"
"thrilled" "innoissaan"
"plot" "juoni"
"fashioned" "muotoiltu"
"detective" "salapoliisi / etsivä"
"sherlock" "Sherlock Holmes"
"holmes" "ystävä"
"esque" "tunteva"
"seductive" "viettelevä"
"femme" "nainen"
"fatales" "kohtalokkaat"
"crooked" "vino"
"cops" "poliisit"
"shady" "hämärä"
"characters" "hahmot"
"underhanded" "epärehellinen"
"criminals" "rikolliset"
"blackmail" "kiristys"
"betrayal" "petos"
"disguise" "vale"
"deceit" "petos"
"rainy" "sateinen"
"dick" "kulli"
"damsel" "neito"
"request" "pyyntö, hakemus"
"twisted" "vääristynyt"
"thrill" "jännite"
"classic" "klassinen"
"brilliant" "loistava"
"reparation" "hyvitys"
"owning" "omistaminen"
"disappointing" "pettymys"
"overdone" "liikaa tehty"
"barber" "parturi"
"wooden" "puinen"
"sequences" "sarjat"
"twist" "kierre"
"essence" "ydin"
"sneaky" "salakavala"
"risky" "riskialtis"
"downhill" "alamäkeen"
"mudslide" "liejuvirta"
"ed" "-ttu / -nut"
"crane" "nosturi / kurki"
"escape" "paeta"
"mundane" "maallinen"
"decisions" "päätökset"
"kraken" "kraken"
"expectations" "odotukset"
"webs" "verkot"
"limbs" "raajat"
"government" "hallitus"
"contract" "sopimus"
"backwards" "taaksepäin"
"bent" "koukistunut"
"visited" "vierailtu"
"playlist" "soittolista"
"cheesy" "juustoinen"
"embarrassing" "nolo, häpeällinen, vaivautunut"
"lovers" "rakastavaiset"
"loose" "löystynyt/löysä"
"ordinary" "tavallinen"
"shoulder" "olkapää"
"circling" "kiertäminen"
"1010" "1010"
"satisfies" "tyydyttää"
"who'd" "who would"
"outlaw" "lainsuojaton"
"fools" "hölmöt"
"silence" "hiljaisuus"
"stood" "seistä"
"reach" "saavuttaa, ulottua"
"deafen" "sokaiseva"
"drown" "hukkua"
"recall" "muistaa"
"sunshine" "auringonpaiste"
"melting" "sulattaminen/sulava"
"tes" "sinun"
"ress" "fressi"
"coordination" "koordinaatio"
"accurately" "tarkasti"
"describes" "kuvailee"
"backpack" "reppu"
"savage" "raaka"
"michelle" "Michelle"
"branch" "oksa"
"hopeless" "toivoton"
"ani" "vuosia"
"plays" "näytelmät"
"background" "tausta"
"kansas" "Kansas"
"evan" "evankeliumi"
"matthews" "Matti, Matteus"
"randomly" "sattumanvaraisesti"
"anytime" "milloin tahansa"
"none" "ei mikään / ketään"
"deeply" "syvästi"
"camp" "leiri"
"flashbacks" "paluu menneeseen"
"childhood" "lapsuus"
"summertime" "kesäaika"
"porgy" "Porgy and Bess"
"bess" "parempi"
"lyrics" "sanat"
"fury" "raivo"
"anguish" "tuska"
"saddest" "surullisin"
"ocean" "valtameri"
"avenue" "katu"
"ballroom" "tanssisali"
"tracy" "Tracy"
"ni" "sinä"
"hana" "hanakkuus, innokkuus"
"lays" "asettaa"
"hottest" "kuumin"
"apollo" "apollo"
"brooks" "Brooks (paikannimi)/pennut (slangikieltä)"
"wedding" "häät/hääjuhla"
"america" "Amerikka"
"simon" "Simon"
"turbulent" "myrskyisä"
"blissful" "autuas"
"stones" "kivet"
"keri" "keri"
"laughed" "nauroi"
"sol" "aurinko"
"fucking" "helvetin/helvetinmoinen"
"possibly" "mahdollisesti"
"cried" "itki"
"bus" "bussi"
"tokyo" "Tokio"
"color" "väri"
"socks" "sukat"
"1960s" "1960-luku"
"typewriter" "kirjoituskone"
"pesto" "pestokastike"
"messy" "sotkuinen"
"14" "14"
"jeans" "farkut"
"japanese" "japanilainen"
"tank" "tankki"
"jean" "farkut"
"annoyance" "ärsytys"
"longing" "kaipuu"
"17" "seitsemäntoista"
"desktop" "työpöytä"
"distance" "etäisyys"
"letters" "kirjaimet"
"stupidity" "typeryys"
"fatter" "lihavampi"
"19" "19"
"blubber" "nyyhkiminen/rasva"
"clothing" "vaatteet"
"striped" "raidallinen"
"lace" "pitsi"
"japan" "Japani"
"feature" "esiintyä"
"forearms" "kyynärvarret"
"listened" "kuunneltu"
"presents" "lahjat"
"23" "kaksikymmentäkolme"
"carpet" "matto"
"creeping" "mateleva"
"gym" "kuntosali"
"piano" "piano"
"27" "27"
"grey" "harmaa"
"burgundy" "burgundin punainen"
"navy" "merivoimat, merihenkisyys"
"28" "kaksikymmentäkahdeksan"
"afterlife" "tuonpuoleinen"
"undecided" "epävarma"
"bell" "kello"
"jar" "purkki"
"32" "32"
"spring" "kevät"
"california" "Kalifornia"
"jacob" "Jaakob, miehen nimi"
"34" "34"
"35" "35"
"excluding" "sulkeminen pois"
"greece" "Kreikka"
"russia" "Venäjä"
"india" "intialainen"
"germany" "Saksa"
"pakistan" "Pakistan"
"36" "36"
"career" "ura (Finnish)"
"37" "37"
"38" "kolmekymmentäkahdeksan"
"non" "ei"
"bird" "lintu"
"york" "New York"
"san" "sana"
"diego" "Diego"
"cali" "ka-li"
"hawaii" "Havaiji"
"mexico" "Meksiko"
"danced" "tanssinut"
"imaginary" "kuvitteellinen"
"cabin" "mökki"
"johnny" "Johannes"
"stories" "tarinat"
"loneliness" "yksinäisyys"
"guilt" "syyllisyys"
"rosie" "ruusutarha"
"stuffed" "täytetty"
"musician" "muusikko"
"lefty" "vasenkätinen"
"righty" "oikeassa"
"ambidextrous" "molempikätinen"
"plans" "suunnitelmia"
"ear" "korva"
"drink" "juoma"
"alcohol" "alkoholi"
"shampoo" "shampoota"
"conditioner" "hoitoaine"
"alternated" "vuorotellen"
"drowning" "hukkuminen"
"boxers" "bokserit"
"castle" "linna"
"stoney" "kivinen"
"gardens" "puutarhat"
"doubtful" "epäilyttävä"
"lonely" "yksinäinen"
"depends" "riippua"
"48" "neljäkymmentäkahdeksan"
"kissed" "suudeltu"
"edge" "reuna,"
"jungle" "viidakko"
"animals" "eläimet"
"gravitating" "gravitoituminen"
"blackness" "pimeys"
"spans" "ylittää/väli"
"graying" "harmaantuminen"
"floating" "kelluva"
"appear" "ilmestyä /näyttää"
"spot" "paikka"
"favor" "suosikki/suosiminen, suosion osoitus"
"hovering" "leijuminen"
"edges" "reunat"
"retreat" "vetäytyminen"
"shadows" "varjot"
"branches" "oksat"
"tangled" "sotkuinen"
"surface" "pinta"
"rotting" "mätäneminen"
"trunk" "runko"
"populace" "kansa, väestö"
"holds" "omistaa"
"deadly" "tappava"
"cords" "narut, johdot"
"nearest" "lähin"
"form" "muoto"
"adventurous" "seikkailunhaluinen"
"pale" "kalpea"
"frog" "sammakko"
"shore" "ranta/niemi"
"keyboard" "näppäimistö"
"paperclip" "paperiliitin"
"notes" "merkinnät, huomautukset"
"atop" "päällä"
"nearby" "lähistöllä"
"plateau" "taso"
"overlooking" "katseli"
"reflects" "heijastaa"
"origin" "origin"
"noises" "äänet"
"bravest" "rohkein"
"creatures" "luomukset"
"seek" "etsiä"
"protection" "suojaus/suojeleminen"
"purple" "purppura"
"speckled" "täplikäs"
"species" "laji"
"swimmer" "uimari"
"colony" "kolonia"
"moths" "koit, perhoset"
"its" "sen"
"cards" "kortit"
"trampled" "tallattu"
"circles" "ympyrät"
"ovals" "soikiot"
"emerged" "noussut"
"hydrate" "kosteuttaa"
"itself" "itsestään"
"discern" "erottaa"
"tail" "häntä"
"produces" "tuottaa"
"visible" "näkyvä"
"awaken" "herätä"
"slink" "hiipiä"
"appearing" "esiintyvä"
"inanimate" "eloton"
"defense" "puolustus"
"mechanism" "mekanismi"
"cashmere" "kashmir"
"sweater" "villapaita"
"variety" "monipuolisuus"
"birds" "linnut"
