"hey" "hei"
"hieroglyphic" "hieroglyfinen"
"undeniable" "kiistaton"
"asians" "aasialaiset"
"ricans" "puertoricolaiset"
"latin" "latinalainen"
"disciples" "opetuslapset"
"vice" "pahe"
"dpg" "dpg (Dogg Pound Gangstas)"
"california" "Kalifornia"
"connection" "yhteys"
"rear-view" "takapeili"
"cocking" "vääntäminen"
"rodman" "koripalloilija"
"fought" "taisteli"
"guilty" "syyllinen"
"button-up" "napitettu"
"maybachs" "hienot autot"
"low-riding" "matalaprofiilinen"
"lo-lo" "lyhyt"
"c-walking" "käveli edestakaisin"
"converse" "keskustelu"
"gibbering" "jaaritteli"
"jabbing" "tökkiminen"
"clacking" "koliseminen"
"prior" "entinen"
"trafficking" "salakuljettaminen"
"dodger" "välttelijä"
"cashville" "rikas kaupunki"
"zeus" "kreikkalainen jumala"
"nutso" "hullu"
"contemplate" "pohtia"
"kool" "hieno"
"waters" "vedet"
"coca-cola" "Coca-Cola"
"cares" "välittää"
"stanky-rich" "ällöttävän rikas"
"boats" "veneet"
"saint-tropez" "ranskalainen kaupunki"
"riddle" "arvoitus"
"chitter-chat" "turhia puheita"
"bloodclaat-chop" "verinen hakkaus"
"strawberry-shake" "mansikka-shake"
"breakdance" "breakdance"
"backspin" "taaksepyörintä"
"head-spin" "pääpyörähdys"
"flatline" "tasajakso"
"forgetful" "unohtelias"
"ofcourt" "tietenkin"
"cork" "korkki"
"outlined" "ääriviivat"
"repeating" "toistuva"
"morphine" "morfiini"
"stroller" "lastenrattaat"
"birdie" "lintu"
"ny" "New York"
"snoops" "vakoilijat"
"cs" "tietojenkäsittelytiede"
"debarge" "erottaminen"
"golfing" "golf"
"retaliated" "kostanut"
"jackers" "ryöstäjät"
"invaders" "tunkeilijat"
"raiders" "hyökkääjät"
"gamechanging" "pelin muuttava"
"visit" "vieraileminen"
"skillet" "pannu"
"stretching" "venyttäminen"
"250s" "250-luvut"
"cripping" "vammautuminen"
"5-o" "5-o"
"wee" "pieni"
"marley" "Marley"
"reincarnated" "uudestisyntynyt"
"rastafari" "rastafari"
"clickity-clank" "Klakketylittämistä"
"piggy" "sika"
"wavin" "hulittaa"
"monkey-ass" "apinanperse"
"mon" "mon"
"dud" "huijari"
"mobb" "huippujengi"
"homey" "kaveri"
"pc" "tietokone"
"203" "203"
"kelis" "kelis"
"milkshake" "maidoshake"
"three-way" "kolmen tapa"
"bankrolls" "rahaympyrät"
"dopeboys" "kovikset"
"lawd" "laki"
"lover" "rakastaja"
"swanging" "keinuttaa"
"visualizing" "visualisointi"
"chickenhead" "kananpää"
"betcha" "lyödä vetoa"
"thong" "pikkarit"
"frustrated" "turhautunut"
"ignore" "sivuuttaminen"
"nutting" "pähkinöiden poimiminen"
"cruising" "risteily"
"forty-year" "neljänkymmenen vuoden"
"surrounding" "ympäröivä"
"hounding" "piinaaminen"
"on-ly" "vain"
"ho-mie" "ystävä"
"tours" "kiertueet"
"indulge" "hemmotella"
"frisk" "keikaroida"
"everythin" "kaikki"
"yacht-master" "jahtikapteeni"
"intimidation" "pelkääminen"
"dedicated" "omistautunut"
"baka-baka-baka-baka" "höpöhöpö"
"birthmark" "syntymämerkki"
"scrotum" "kivekset"
"nonsense" "hölynpölyä"
"fails" "epäonnistuu"
"storys" "tarinat"
"interrupt" "keskeyttää"
"perpetrator" "tekijä"
"huh-" "höpsis"
"-he" "-asti"
"slashed" "viilsi"
"tory" "porvari"
"brendas" "Brenda"
"staticll" "staattinen"
"g-g-g-mixxxx" "ta-daa-mi-x"
"f-i-f-t-y" "viisikymmentä"
"c-e-n-t" "sentti"
"s-n" "SN"
"o-p" "OP"
"doggy" "koira"
"internationally" "kansainvälisesti"
"locally" "paikallisesti"
"12-piece" "12-osainen asu"
"g-u-n-i-tizzy" "aseiden huuma"
"d-p-gizzy" "DPG"
"braids" "letit"
"mag-ah-ni-ficent" "mahtava"
"infamous" "pahamaineinen"
"m-o-b-b" "rikollisjoukko"
"locin" "kyyhöttää"
"gin" "gini"
"styling" "tyyli"
"parental" "vanhemmuuteen liittyvä"
"discretions" "harkinnanvaraisuus"
"advised" "neuvottu"
"blend" "sekoitus/ sekoittaa"
"bumping" "törmäämässä"
"twisting" "vääntäminen"
"porn" "pornografia"
"disclaimer" "vastuuvapaus"
"squalor" "köyhyys"
"co-ed" "sekoitettu sukupuoli"
"botanical" "kasvitieteellinen"
"armed" "aseistettu"
"unwrapping" "paketista purkaminen"
"bagging" "pakkaaminen/pussittaminen"
"stashing" "säilöminen/ piilotus"
"x-rated" "rivo"
"cancun" "Cancún"
"huge" "valtava"
"b-i" "B-I"
"six-fifty" "kuusisataa viisikymmentä"
"s550" "S550"
"european" "eurooppalainen"
"accents" "aksentit"
"euros" "euroa"
"direction" "suunta"
"i-9-5" "I-9-5"
"rome" "Rooma"
"roam" "kuljeskella"
"roscoe" "Roscoe"
"sew" "ommella"
"yesterday" "eilen"
"mighty" "mahtava"
"warnin" "varoitus"
"tempt" "houkutella"
"mistakin" "jostakin"
"101s" "101:t"
"session" "sessio"
"laced" "nauhoitettu"
"wessons" "Wessons"
"burbs" "esikaupungit"
"sunset" "auringonlasku"
"ferraris" "Ferrarit"
"detroit" "Detroit"
"ems" "EMS"
"printin" "painaminen"
"welfare" "hyvinvointi"
"wound" "haavoittaa"
"sam" "Sami"
"sabrina" "Sabrina"
"practicing" "harjoittaminen"
"380" "380"
"medallion" "mitali"
"description" "kuvaus"
"bullshittin" "p*skaa puhuminen"
"calf" "vasikka"
"stresses" "painotuksia/korostaa"
"stamps" "postimerkkejä/mataloi"
"ah-ha" "ah-ha"
"locn" "sijainti"
"hollow-tips" "ontotipat"
"tongue-kissin" "kielisuudelmoida"
"satans" "paholainen"
"2002" "vuosi 2002"
"kevlar" "kevlar"
"81" "luku 81"
"karat" "karaattia"
"revolver" "revolveri"
"homeboy" "kotijätkä"
"mell" "rauhallinen"
"lifespan" "elinikä"
"conversationist" "keskustelija"
"headache" "päänsärky"
"girlfriends" "tyttöystävät"
"runs" "aUrat"
"beverly" "Beverly (kaupunki)"
"darkchild" "Dark child (lempinimi)"
"toot" "torvi"
"considered" "pidetty/arvostettu"
"queer-ass" "outo/erikoinen"
"funny-looking" "hassunkurisen näköinen"
"upper" "ylempi"
"mourn" "surra"
"clubs" "kerhot"
"surely" "varmasti"
"gray" "harmaa"
"pave" "päällystää"
"twitch" "nytkähtää"
"skirts" "hameet"
"giraffe" "kirahvi"
"necks" "kaulat"
"povertyll" "köyhyyden vertailumuoto"
"stereotype" "stereotypia"
"fabric" "kangas/materiaali"
"cabbagell" "kaali"
"venom" "myrkky"
"momentum" "liikevoima"
"d-1-2" "epätavanomainen"
"disaster" "katastrofi"
"muggs" "mukit"
"fizz-ast" "kihelmöinti"
"vato" "fuska"
"dragged" "raahata"
"barrio" "slummi/kaupunginosa"
"osorios" "osorio (sukunimi)"
"b-real" "b-real (nimi)"
"cypress" "sypressi (puu)"
"diapers" "vaipat"
"toke" "saada johtaa"
"secondhand" "käytetty"
"bia" "hieman hienovaraista"
"mira" "Mira (synonyymi 'katse')"
"mio" "Musta (hiussävy)"
"san" "sana"
"sen" "se"
"ése" "se"
"chemical" "kemiallinen"
"membrane" "kalvo"
"sha-d" "ravistella"
"deez" "nämä"
"feast" "juhla"
"hock-ptui" "räkä"
"gasping" "läähättäminen"
"silverback" "hopean selkä"
"flicks" "hipaisu"
"root" "juuri"
"fitting" "sopiva"
"goldie" "kulta"
"commitin" "sitoutumista"
"inherited" "peritty"
"gritted" "hampaita pureva"
"columbine" "kolumbiini kukka"
"mvp" "arvokkain pelaaja"
"doubts" "epäilykset"
"mouth-to-mouth" "suusta suuhun tapahtuva"
"witcha" "sinun kanssasi"
"walkman" "kävelymies"
"leases" "vuokraukset"
"brook-lyn" "joki-vapaus"
"gadget" "laite"
"vertebrae" "nikama"
"tissues" "kudos"
"futon" "patja"
"hugging" "halailu"
"shih" "kiinalainen koiranrotu"
"tzu" "kiinalainen koiranrotu"
"fifths" "viidesosat"
"runaway" "karkuteillä oleva"
"fades" "haalistuu"
"caprice" "mielijohde"
"breeze" "tuulenvire"
"e-pass" "sähköinen kulunvalvontakortti"
"brings" "tuo mukanaan"
"stashbox" "piilotettu laatikko"
"dashbox" "tärkeä laatikko"
"coolest" "siistein"
"sheneneh" "helppo tyttö"
"goodness" "hyväntahtoisuus"
"docks" "laiturit"
"aventadors" "urheiluautojen maailmanmestaruus"
"double-decker" "kaksoiskerroksinen"
"jets" "suihkut"
"maserati" "maserati"
"pervert" "pervo"
"cervix" "kohdunsuu"
"faithful" "uskollinen"
"roseo" "vaaleanpunaista"
"r-rosetta" "ruusupensas"
"binger" "haukkuminen"
"slayin" "tappaminen"
"swallowed" "nielemällä"
"f-fuckin" "vitstilata"
"freebasin" "vapaa hengitys"
"demonstration" "esittely"
"forehead" "otsa"
"brrrrrrrrrrah" "brrrrrrrrrrah (same as English)"
"gory" "verinen"
"parade" "paraati"
"sanity" "järki"
"hollering" "huuto"
"shorties" "alushousut"
"swooping" "leijuminen"
"coupin" "kuponki"
"embed" "upottaa"
"notch" "ura"
"a-a-a-a-a-a-a-aye" "hei"
"lite" "hivenen"
"conscious" "tietoinen"
"accomplishments" "saavutukset"
"jocking" "pilailemassa"
"witchu" "kanssasi"
"a-a-a-a-a-a-a-ayy" "jee"
"larceny" "ryöstö"
"red-dot" "punapiste"
"--" "ei mitään käännöstä"
"maniac" "hullu"
"losing" "häviäminen"
"option" "vaihtoehto"
"ballpoint" "kuulakärkikynä"
"a-game" "huippusuoritus"
"lustin" "himoitsemassa"
"baddest" "pahin"
"bound" "sitoutunut"
"exclusive" "yksinomainen"
"rakim" "Rakim (American rapper)"
"pat" "taputella"
"skills" "taidot"
"chills" "vilunväristykset"
"lambos" "Lamborghinit (luxury car manufacturer)"
"c-notes" "dollarin setelit"
"answering" "vastaaminen"
"humps" "nyppylät"
"goosebumps" "kananlihalle nouseva tunne"
"junk" "roina"
"kims" "Kims (short for Kim Kardashian)"
"tasting" "maisteleva"
"minks" "näädät (mink coats are a symbol of luxury)"
"leathers" "nahkaesineet"
"cl" "CL (abbreviation for Champions League)"
"rehab" "vieroitushoito"
"sweats" "hikoiluvaatteet"
"relapse" "takaisku"
"vow" "lupaus"
"eyein" "katselemassa"
"good-looking" "hyvännäköinen"
"bisexual" "biseksuaali"
"healing" "paraneminen"
"cobain" "Cobain (last name of Kurt Cobain, lead singer of Nirvana)"
"ozzy" "Ozzy (nickname for Ozzy Osbourne, musician)"
"osbourne" "Osbourne (last name of Ozzy Osbourne, musician)"
"chilled" "chillailtu"
"frankie" "Frankie"
"lymon" "Lymon"
"hyper" "hyperaktiivinen"
"incentive" "kannustin"
"barefooted" "paljain jaloin"
"dove" "kyyhky"
"symbolizes" "symboloi"
"unconditional" "ehdoton"
"pleasing" "miellyttävä"
"carved" "veistetty"
"laughter" "nauru"
"melly" "Melly"
"gz" "onnea"
"check-ins" "sisäänkirjautumiset"
"daniel" "Daniel"
"loubin" "Loubin"
"tekken" "Tekken"
"slips" "liukastuminen"
"mobile" "mobiili"
"mansa" "Mansa"
"musa" "musa"
"hogan" "Hogan"
"sweatin" "hikoileminen"
"findin" "löytäminen"
"gee" "gee"
"willikers" "Willikers"
"gatman" "Gatman"
"big-ass" "iso-peräinen"
"dearly" "rakkaasti"
"cagney" "Cagney"
"lacey" "pitsinen, nyörikytketty"
"masterpiece" "mestariteos"
"angerll" "raivota"
"oughta" "pitäisi"
"shiia" "pakkaus, järjestäminen"
"conjoined" "yhteenkasvanut"
"unavoidable" "välttämätön"
"squashable" "litistettävä"
"shitll" "paska"
"simmer" "kiehua"
"sitdowns" "istumien"
"daves" "Davet"
"zinos" "Zinos"
"discussions" "keskustelut"
"debates" "väittelyt"
"crumpets" "englantilaiset rinkelit"
"mentioning" "mainitseminen"
"d-twizzie" "D-Twizzien"
"splitted" "jaettu"
"cemetery" "hautausmaa"
"copper" "kupari"
"ouuh" "ouhh"
"bongo" "bongo-rumpu"
"bomber" "pommituslentokone"
"lama" "lama"
"depart" "lähteä"
"2am" "kaksi aamulla"
"collecting" "kerääminen"
"dupont" "Dupont"
"registrys" "rekisterit"
"shifted" "siirretty"
"chyna" "Chyna"
"african" "afrikkalainen"
"nh" "NH"
"600" "600"
"all-black" "kokonaan musta"
"admiration" "ihailu"
"admire" "ihailla"
"toasters" "paahtoleivät"
"arsenal" "aseistus"
"infantry" "jalkaväki"
"friendsll" "ystävät"
"kochll" "koch"
"unleash" "vapauttaa"
"prayers" "rukoukset"
"konvict" "vankeja"
"re-route" "uudelleen reitittää"
"weapons" "aseet"
"unloaded" "purkamaton"
"ripper" "repijä"
"attitudes" "asenteet"
"touches" "koskettaa"
"focusing" "keskittymään"
"attracted" "houkutteleva"
"mislead" "harhauttaa"
"headlock" "päänlukko"
"sing-sing" "laula laula"
"tights" "trikoot"
"wipes" "pyyhekumi"
"enfamil" "lastenruoka"
"motorbikes" "moottoripyörät"
"frills" "helmat"
"prank" "kepponen"
"cristy" "Kristiina"
"foreplay" "esileikki"
"odb" "Old Dirty Bastard"
"latex" "lateksi"
"wiser" "viisaampi"
"curling" "kiharointi"
"sexing" "sukupuoliseksi"
"lucifer" "Lucifer"
"levar" "Levar"
"junebugs" "kesäkuun toukat"
"flunky" "junisti"
"eeney" "Eeney"
"meeney" "Meeney"
"miney" "Miney"
"rank" "arvojärjestys"
"piggie" "pikkupossu"
"aaaaah" "aaaah"
"satisfied" "tyytyväinen"
"explore" "tutkia"
"healin" "parannus"
"appease" "lepyttää"
"albino" "albiino"
"layers" "kerrokset"
"rattlesnakes" "kyykäärmeet"
"lightening" "valkaisua"
"bolts" "pultit"
"jimmys" "vipuvarret"
"d12" "noppaa 12"
"doo-doo" "kakkapökäle"
"landslides" "maanvyörymät"
"limiteds" "rajoitetut"
"velour" "veluuria"
"fiyaa" "tulta"
"keeping" "pitäminen/säilyttäminen"
"batch" "erä"
"opening" "avaaminen"
"vats" "vatsa"
"octomom" "kahdeksan lapsen äiti"
"patch" "laikku"
"impregnated" "raskaaksi tullut"
"embryo" "sikiö"
"sac" "pussi/ kapseli"
"mac-10s" "ase"
"triplets" "kolmoset"
"quadruplets" "neloset"
"fetus" "sikiö"
"rippers" "repijät"
"scratched" "raaputettu"
"foam" "vaahto"
"searching" "etsintä"
"mark" "merkki"
"dakota" "dakota-heimon jäsen"
"disappeared" "kadonnut"
"trace" "jälki"
"csi" "rikospaikkatutkinta"
"butcher" "teurastaja"
"villainously" "ilkeästi"
"maniacal" "mielipuolinen"
"pliers" "pihdit"
"wheezing" "vinkuminen/hengittäminen vaivalloisesti"
"murderous" "murhaava"
"tactics" "taktiikka"
"arts" "taiteet/taiteellinen ilmaisu"
"portia" "Portia"
"disposal" "hävitys"
"jessicas" "Jessicat"
"squashed" "litistetty"
"wringer" "väännin"
"norfolk" "Norfolk (place name)"
"gem" "jalokivi"
"epic" "eeppinen"
"smi-ile" "hymyillä"
"discuss" "keskustella"
"depends" "riippua"
"amends" "hyvitys"
"remarks" "huomautus"
"platonic" "platoninen"
"intact" "ehjä"
"marchin" "marssia"
"violated" "loukattu"
"tiptoed" "hiipparoida"
"individual" "yksilö"
"evenings" "iltaisin"
"speak-a" "puhua"
"glisten" "kimaltaa"
"neutron" "neutroni"
"groupon" "alennuskuponki"
"windex" "ikkunapesuaine"
"index" "indeksi"
"insect" "hyönteinen"
"nude" "alaston"
"whore-a" "huora"
"more-a" "lisää"
"contradicted" "kumoutunut"
"addictive" "addiktoiva"
"ex-cons" "entiset vangit"
"yukon" "Yukon"
"wigs" "peruukit"
"waistlines" "vyölinjat"
"cellphone" "matkapuhelin"
"lifeline" "tukilanka"
"shorter" "lyhyempi"
"smalls" "pienet alusvaatteet"
"warn" "varoittaa"
"girlie" "pikkutytönomainen"
"blasted" "kirottu"
"blinkin" "vilkkuva"
"strobes" "valojuovat"
"really-really" "todella-todella"
"groan" "voihkaista"
"hbk" "Hall of Fame Beast"
"heartbreak" "sydänsärky"
"amateurs" "amatöörit"
"kung" "kung-fu"
"waffle" "vohveli"
"ihop" "International House of Pancakes"
"jizzle" "tiputella"
"baseball" "baseball"
"notebook" "muistikirja"
"shown" "näyttää"
"fugaise" "katoava"
"april" "huhtikuu"
"suitcase" "matkalaukku"
"outlet" "ulosmeno"
"peddle" "kaupata"
"stumble" "kompastella"
"reserves" "varannot"
"emerge" "ilmestyä"
"tragical" "traaginen"
"traumatical" "traaginen"
"incompatible" "yhteensopimaton"
"vaginal" "emätin-"
"rattin" "rattin"
"hammers" "vasarat"
"n-o" "ei-o"
"shipments" "lähetys"
"todays" "nykyään"
"volatile" "epävakaata"
"cracks" "halkeamia"
"vintage" "ikä"
"olympics" "olympialaiset"
"deluxe" "ylellinen"
"violate" "rikkoa"
"bonds" "siteet"
"razor" "partahöylä"
"potency" "tehokkuus"
"lactose" "laktoosi"
"belief" "usko"
"lined" "vuorattu"
"allies" "liittolaiset"
"midas" "Midas"
"a-be" "a-bi"
"all-nighter" "koko-yön valvonta"
"rides" "ratsastaa"
"intimate" "läheinen"
"all-fours" "nelinkontin"
"intoxicated" "humaltunut"
"significant" "merkittävä"
"smoke-gray" "savunharmaa"
"gleaming" "hohtava"
"series" "sarja"
"twenty-four" "kaksikymmentä-neljä"
"giovanni" "Giovanni"
"r1" "r1"
"rebirth" "uudelleensyntymä"
"liberace" "Liberace"
"sneaker" "tennari"
"reebok" "Reebok"
"fin" "evä"
"ten-a-key" "kymmenen punnan avain"
"ki" "ki"
"sensing" "havaitseminen"
"contrary" "vastakkainen"
"slacking" "hiihtelee"
"fairly" "kohtalaisesti"
"beaches" "rannat"
"decorate" "koristella"
"sweepers" "lakaistuja"
"naww" "eipä-paljon"
"sprewells" "Sprewellit"
"whodi" "Whodit"
"fugazies" "Fugazeet"
"shitter" "lokerosi"
"breezies" "tuulista"
"weezy" "pienestä"
"loading" "lastaava"
"shaniqua" "Shaniqua"
"flaunt" "huomionhakuinen"
"four-dot-six" "neljä ja puoli"
"fondling" "hyväilevä"
"crip-walking" "Crip-kävely"
"slammer" "vankila"
"bammer" "Bammer"
"whoadie" "Whoadie"
"grammar" "kielioppi"
"lumps" "kyhmyjä"
"shellsll" "kuoria"
"coronersll" "kuolemansyyntutkijoita"
"commercial" "kaupallinen"
"bruh-man" "Bruh-mies"
"monday" "maanantai"
"thursday" "torstai"
"hooptay" "hyväksyvä"
"vipe" "häivytä"
"roy" "kuningas"
"suzukis" "Suzukin moottoripyörät"
"ccs" "sulatettu sokeri"
"identify" "tunnistaa"
"waved" "heiluttaa"
"spazzed" "saada hermoromahdus"
"blu" "sininen"
"cantrell" "Cantrell-niminen henkilö tai bändi"
"fo-fo" "poliisin partioauto"
"hinge" "sarana"
"serenity" "rauha"
"courage" "rohkeus"
"aa" "AA-ryhmä (Anonyymit alkoholistit)"
"casat" "hotelliketju"
"a-ay" "kyllä"
"trigga" "liipaisin"
"aruba" "saari Karibialla"
"sapphires" "saffirit"
"exotic" "eksoottinen"
"psychotic" "psykoottinen"
"narcotic" "huumaava aine"
"comprehend" "ymmärtää"
"complicated" "monimutkainen"
"occupation" "ammatti"
"greyhound" "harmaa koira"
"limits" "rajat"
"temporary" "väliaikainen"
"tryina" "yrittävä"
"utp" "UTP"
"ha-ha-ha-ha-ha-ha" "haha-haha-haha"
"slanging" "huumeiden kauppaamista"
"snowy" "lumista"
"sleet" "räntää"
"lifted" "nostettu"
"chili" "chiliä"
"nine-millis" "yhdekäs"
"smacking" "hutkiva"
"twenty-inches" "20 tuumaa"
"grinning" "virnistävä"
"draulics" "hydrauliikka"
"2005" "2005"
"usher" "opas/johdattaa"
"crist" "kuvapatsas"
"25s" "25 sekuntia"
"soundscan" "äänilaskuri"
"lowridin" "matalan ajamisen"
"fohead" "otsa"
"tyra" "tyrannia"
"retired" "eläkkeellä oleva"
"rhymin" "rytmitellä"
"somthin" "jokin"
"shivering" "väristys"
"mma" "MMA (mixed martial arts)"
"muh" "Yöks!"
"robbery" "ryöstö"
"homo" "homo-"
"co-operate" "yhteistyöskennellä"
"operate" "toimia/leikata"
"merk" "merkki"
"observant" "tarkkaavainen"
"dumbing" "tyhmentäminen"
"showoff" "keimailija/narri"
"sheeit" "Jeesh!"
"discipline" "kurinalaisuus"
"spinner" "pyörittävä"
"denali" "Denali (vuori Pohjois-Amerikassa)"
"chipped" "halkiainepaikkaus"
"mirada" "katse/seremonia"
"nena" "tyttö"
"pasa" "menee läpi"
"invito" "kutsu"
"trago" "juoma"
"sabes" "tiedät"
"malo" "huono"
"pasar" "kulkea"
"buen" "hyvä"
"rato" "hetki"
"vayas" "menet"
"lado" "puoli"
"bajito" "alhainen"
"entere" "tietoinen"
"oído" "korva"
"mientras" "sillä aikaa kun"
"mueves" "liikut"
"rózate" "koskettelua"
"conmigo" "kanssani"
"sientes" "tunnet"
"ehh" "häh?"
"darte" "antaa sinulle"
"poquitito" "hieman"
"dao" "rappeutunut"
"mires" "katsot"
"lao" "vanha"
"callao" "Callao (kaupunki Perussa)"
"enteren" "ymmärtävät"
"conviene" "sopii"
"guárdame" "säilytä minut"
"amiga" "ystävä (naispuolinen)"
"agarran" "tarttuvat"
"movida" "liike"
"sepa" "tietää"
"aquél" "se"
"llamó" "soitti"
"enamoró" "viehätti, rakastui"
"ocupo" "tarvitsen"
"palabras" "sanat"
"digo" "sanon"
"susurrándote" "kuiskaamalla sinulle"
"me-and-you" "minä ja sinä"
"traditional" "perinteinen"
"unconventional" "epätavallinen"
"jumbo" "jättiläismäinen"
"oneill" "O'Neill (sukunimi)"
"tainy" "Tainy (taiteilijanimi)"
"kurtis" "Kurtis (sukunimi)"
"breaks" "tauot"
"expressing" "ilmaiseminen"
"capabilities" "kyvyt"
"correctional" "korjaava"
"facilities" "tilat"
"microphone" "mikrofoni"
"out--" "ulkopuolella"
"baby-pop" "vauvan pop"
"transit" "transit"
"aha-aha" "aha-aha"
"whooo" "huu"
"a-a-a" "a-a-a"
"dougie" "dougie"
"hallelujah" "halleluja"
"original" "alkuperäinen"
"cockpit" "ohjaamo"
"p-40" "P-40"
"tellie" "televisio"
"leisure" "vapaa-aika"
"sync" "synkronoida"
"yorker" "yorkilainen"
"dp" "lasketaan!"
"bubblin" "kupliva"
"dramall" "draama"
"trauma" "traumat"
"marina" "venesatama"
"wealthies" "varakkaita"
"spalding" "spalding"
"thotiana" "ajatustenlukija"
"dominican" "dominikaaninen"
"holly" "pyhä"
"biatch" "narttu"
"chunky" "paksu"
"chunk" "pala"
"hannn" "sitten uudelleen"
"startender" "aloittelijatarkkailija"
"bartender" "baarimikko"
"gus" "Gus"
"grotto" "luola"
"settlin" "asettuvat"
"hash" "hash"
"aiyyo" "aiyyo"
"bibles" "Raamatut"
"bezerk" "raivoissaan"
"spins" "pyörii"
"nathin" "ei mitään"
"splittin" "jakaminen"
"females" "naiset"
"islands" "saaret"
"uz" "huumeet"
"buicks" "Buickit"
"loon" "hölmö"
"fabby" "hieno"
"cb4" "CB4"
"beefs" "riidat"
"throws" "heittää"
"appreciates" "arvostaa"
"ig-nor-ant" "tietämätön"
"warriors" "soturit"
"healthy" "terveellinen"
"tween" "8-12 -vuotias"
"lounging" "loikoilemalla"
"hops" "humalat"
"hims" "miehet"
"remembers" "muistaa"
"helping" "auttaminen"
"celtic" "kelttiläinen"
"discussing" "keskustellaan"
"tu-turn" "käännös"
"tonto" "typerä"
"kemosabi" "luottohenkilö"
"basketball" "koripallo"
"moses" "mooses"
"sawed" "sahatseva"
"suckas" "pellejä"
"laaaaa" "laaaaaaaaa"
"zoom-a-zoom-zoom-zoom" "zoom-a-zoom-zoom-zoom"
"poom-poom" "poom-poom"
"rump" "kompuroiva"
"shoop" "shoop"
"ba-doop" "ba-doop"
"l-b-c" "l-b-c"
"d-o-double-g" "d-o-double-g"
"woo-hah" "woo-hah"
"hypnotize" "hypnotisoida"
"getcha" "saada sinua"
"izz-o" "izz-o"
"izz-a" "izz-a"
"shizzle" "juttu"
"nizzle" "huone"
"va" "va"
"anthem" "hymni, kansallislaulu"
"3-wheeling" "kolmipyöräinen"
"motherwhat" "äitiwha?"
"patrolling" "partioimaan"
"hunting" "metsästää"
"freaking" "täysin typerä"
"capture" "vangitsemaan"
"tradin" "kaupankäynti"
"brightens" "kirkastaa"
"favorites" "suosikit"
"sponge" "pesusieni"
"ab-sorb" "imeytyy"
"reverand" "pappi"
"flake" "murusia"
"eddie" "poika"
"easy-l" "huolettomasti"
"wooo" "ihanaa!"
"morton" "Morton"
"mamall" "mammalla"
"plant" "kasvi"
"supermodel" "huippumalli"
"mamad" "mamat"
"beckyll" "Beckyll"
"g-packs" "g-pakkaus"
"crutch" "kyynärsauva"
"steez" "tyyli"
"appetite" "ruokahalu"
"recline" "rentoutumaan"
"fuzz" "pörröisyys"
"chirping" "visertää"
"shadyville" "shadyville"
"collaboration" "yhteistyö"
"queensbridge" "queensbridgen alue"
"hoods" "huput"
"fatigues" "väsymykset"
"buckshots" "haulit"
"avenue" "katu"
"volvos" "volvot"
"rodeos" "rodeot"
"pantyhose" "stay-upit"
"unorthodox" "epäortodoksinen"
"crowded" "täpötäysi"
"dory" "shellfish (type of fish)"
"aching" "kivulias"
"straitjacket" "pakkopaita"
"complications" "komplikaatiot"
"draft" "luonnos"
"insulin" "insuliini"
"hellbound" "helvetin polku"
"distribution" "jakaminen"
"letting" "päästämällä"
"shaniquas" "Shaniquas"
"commotions" "häiriöt"
"punching" "lyömällä"
"occasions" "tilanteita"
"rematch" "uusintaottelu"
"spyda" "hämähäkki"
"bandanna" "bandana"
"beginnings" "alkuja"
"endings" "loppuja"
"hell-bound" "helvetissä suuntautunut"
"adolescence" "nuoruusiässä"
"youngster" "nuorukainen"
"sees" "näkevä"
"strikes" "iskien"
"semi-shotty" "puoliksi haulikko"
"guide" "opas"
"warlike" "sodankaltainen"
"returns" "palattava"
"eyez" "silmät"
"successll" "menestyksellä"
"behold" "ihaile."
"g-dub" "vesihiisi"
"afar" "etäällä"
"limited" "rajoitettu"
"hardcore" "kova"
"knowem" "tietää"
"300zs" "kolmensadan zs"
"sexin" "seksaileva"
"ecstacy" "ekstaasi"
"dkny" "DKNY"
"bkny" "BKNY"
"4-pound" "neljänaulainen"
"jewel" "jalokivi"
"promised" "luvattu"
"86" "hylätty"
"96" "kuollut"
"recommend" "suositella"
"squeezell" "puristella"
"gasp" "henkäistä"
"glitchless" "virheetön"
"reliable" "luotettava"
"infrared" "infrapuna"
"approaching" "lähestyä"
"g-u-n" "ase"
"trashcan" "roskakori"
"fingertips" "sormenpäiden"
"destinations" "määränpäät"
"thorough" "perusteellinen"
"spotted" "huomannut"
"d-r-e" "d-r-e"
"calculated" "laskettu"
"jampacked" "tupaten täynnä"
"b-i-g" "suuri"
"antidote" "vastamyrkky"
"alias" "alias"
"penetentiary" "vankila"
"payroll" "palkkalista"
"raises" "nostaa"
"slicin" "viipaloiminen"
"handled" "käsitelty"
"dames" "naiset"
"frog--and" "sammakko ja"
"crossfire" "ristiriita"
"zipped" "suljettu"
"spoilin" "pilalle menemässä"
"aluminum" "alumiini"
"paints" "maalata"
"heh" "heh"
"2pacs" "kaksi pakettia"
"b-boom" "b-jumala"
"sinister" "synkkä"
"villainous" "pahansuopa"
"protege" "suojatti"
"apprentice" "oppipoika/tyttö"
"dolls" "nuket"
"pins" "nastoja"
"sh-shock" "shokissa"
"reconciled" "sovittaa"
"clinton" "Clinton"
"sax" "saksofoni"
"sprays" "suihkeita"
"resurrect" "herättää henkiin"
"comrade" "toveri"
"automatically" "automaattisesti"
"off-track" "poikkeuksellinen"
"jackass" "jörö"
"wack-ass" "paska takapero"
"shitty" "paskainen"
"fifll" "outo"
"sicker" "sairas"
